title,album,year,lyrics,cover,songwriters_parsed,vocals_parsed
Savoy Truffle,The Beatles,1968,"Creme tangerine and montelimar A ginger sling with a pineapple heart A coffee dessert, yes, you know it's good news But you'll have to have them all pulled out After the Savoy truffle  Cool cherry cream, nice apple tart I feel your taste all the time we're apart Coconut fudge really blows down those blues But you'll have to have them all pulled out After the Savoy truffle  You might not feel it now But when the pain cuts through You're going to know and how The sweat is going to fill your head When it becomes too much You'll shout aloud  [Instrumental/Solo]  But you'll have to have them all pulled out After the Savoy truffle  You know that what you eat you are But what is sweet now turns so sour We all know obla-dibla-da But can you show me where you are?  Creme tangerine and montelimar A ginger sling with a pineapple heart A coffee dessert, yes, you know it's good news But you'll have to have them all pulled out After the Savoy truffle  Yes you'll have to have them all pulled out After the Savoy truffle",False,"[""George Harrison""]","[""Harrison""]"
Searchin',Anthology 1,1962,,True,"[""Jerry Leiber"", ""Mike Stoller""]","[""McCartney""]"
September in the Rain,,1962,,True,"[""Al Dubin"", ""Harry Warren""]","[""McCartney""]"
Sexy Sadie,The Beatles,1968,Sexy Sadie what have you done You made a fool of everyone You made a fool of everyone Sexy Sadie ooh what have you done  Sexy Sadie you broke the rules You layed it down for all to see You layed it down for all to see Sexy Sadie oooh you broke the rules  One sunny day the world was waiting for a lover She came along to turn on everyone Sexy Sadie the greatest of them all  Sexy Sadie how did you know The world was waiting just for you The world was waiting just for you Sexy Sadie oooh how did you know  Sexy Sadie you'll get yours yet However big you think you are However big you think you are Sexy Sadie oooh you'll get yours yet  We gave her everything we owned just to sit at her table Just a smile would lighten everything Sexy Sadie she's the latest and the greatest of them all  She made a fool of everyone Sexy Sadie  However big you think you are Sexy Sadie,False,"[""John Lennon""]","[""Lennon""]"
Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band,1967,"It was twenty years ago today Sgt. Pepper taught the band to play They've been going in and out of style But they're guaranteed to raise a smile So may I introduce to you The act you've known for all these years Sgt. Pepper's Lonely Hearts Club Band  We're Sgt. Pepper's Lonely Hearts Club Band We hope you will enjoy the show We're Sgt. Pepper's Lonely Hearts Club Band Sit back and let the evening go Sgt. Pepper's lonely, Sgt. Pepper's lonely Sgt. Pepper's Lonely Hearts Club Band It's wonderful to be here It's certainly a thrill You're such a lovely audience We'd like to take you home with us We'd love to take you home  I don't really want to stop the show But I thought that you might like to know That the singer's going to sing a song And he wants you all to sing along So let me introduce to you The one and only Billy Shears And Sgt. Pepper's Lonely Hearts Club Band",False,"[""Paul McCartney""]","[""McCartney"", ""Lennon, Harrison"", ""Starr"", ""(with Lennon"", ""Harrison and Starr)""]"
Sgt. Pepper's Lonely Hearts Club Band (Reprise),Sgt. Pepper's Lonely Hearts Club Band,1967,"(1,2,3,4  Bye!)  We're Sgt. Pepper's Lonely Hearts Club Band We hope you have enjoyed the show Sgt. Pepper's Lonely Hearts Club Band We're sorry but it's time to go Sgt. Pepper's lonely, Sgt. Pepper's lonely Sgt. Pepper's lonely, Sgt. Pepper's lonely Sgt. Pepper's Lonely Hearts Club Band We'd like to thank you once again Sgt. Pepper's one and only Lonely Hearts Club Band It's getting very near the end Sgt. Pepper's lonely, Sgt. Pepper's lonely Sgt. Pepper's Lonely Hearts Club Band",False,"[""Paul McCartney""]","[""McCartney"", ""Lennon"", ""Harrison"", ""Starr""]"
Shakin' in the Sixties,Unreleased,1969,,False,"[""John Lennon""]","[""Lennon""]"
She Came in Through the Bathroom Window,Abbey Road,1969,"(Gonna come out now, ha ha ha, wow look out.)  She came in through the bathroom window Protected by a silver spoon But now she sucks her thumb and wanders By the banks of her own lagoon  Didn't anybody tell her? Didn't anybody see? Sunday's on the phone to Monday Tuesday's on the phone to me  She said she'd always been a dancer She worked at 15 clubs a day And though she thought I knew the answer Well I knew what I could not say  And so I quit the police department And got myself a steady job And though she tried her best to help me She could steal but she could not rob  Didn't anybody tell her? Didn't anybody see? Sunday's on the phone to Monday Tuesday's on the phone to me Oh yeah",False,"[""Paul McCartney""]","[""McCartney""]"
She Loves You,A Collection of Beatles Oldies,1963,"She loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah, yeah  You think you lost your love Well, I saw her yesterday It's you she's thinking of And she told me what to say  She says she loves you And you know that can't be bad Yes, she loves you And you know you should be glad  She said you hurt her so She almost lost her mind But now she says she knows You're not the hurting kind  She says she loves you And you know that can't be bad Yes, she loves you And you know you should be glad, ooh  She loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah And with a love like that You know you should be glad  You know it's up to you I think it's only fair Pride can hurt you too Apologize to her  Because she loves you And you know that can't be bad Yes, she loves you And you know you should be glad, ooh  She loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah With a love like that You know you should be glad With a love like that You know you should be glad With a love like that You know you should be glad Yeah, yeah, yeah Yeah, yeah, yeah, yeah",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
She Said She Said,Revolver,1966,"She said, ""I know what it\'s like to be dead. I know what it is to be sad."" And she\'s making me feel like I\'ve never been born  I said, ""Who put all those things in your head? Things that make me feel that I\'m mad. And you\'re making me feel like I\'ve never been born.""  She said, ""You don\'t understand what I said."" I said, ""No, no, no, you\'re wrong. When I was a boy everything was right, Everything was right.""  I said, ""Even though you know what you know, I know that I\'m ready to leave \'Cause you\'re making me feel like I\'ve never been born.""  She said, ""You don\'t understand what I said."" I said, ""No, no, no, you\'re wrong. When I was a boy everything was right, Everything was right.""  I said, ""Even though you know what you know, I know that I\'m ready to leave \'Cause you\'re making me feel like I\'ve never been born.""  She said, ""I know what it\'s like to be dead. I know what it is to be sad. I know what it\'s like to be dead...",False,"[""John Lennon""]","[""Lennon""]"
She's a Woman,Rarities,1964,"My love don't give me presents I know that she's no peasant Only ever has to give me Love forever and forever My love don't give me presents Turn me on when I get lonely People tell me that she's only Fooling, I know she isn't  She don't give the boys the eye She hates to see me cry She is happy just to hear me say That I will never leave her She don't give the boys the eye She will never make me jealous Gives me all her time as well as Loving, don't ask me why  She's a woman who understands She's a woman who loves her man  My love don't give me presents I know that she's no peasant Only ever has to give me Love forever and forever My love don't give me presents Turn me on when I get lonely People tell me that she's only Fooling, I know she isn't  She's a woman who understands She's a woman who loves her man  My love don't give me presents I know that she's no peasant Only ever has to give me Love forever and forever My love don't give me presents Turn me on when I get lonely People tell me that she's only Fooling, I know she isn't  She's a woman She's a woman She's a woman She's a woman",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney""]"
She's Leaving Home,Sgt. Pepper's Lonely Hearts Club Band,1967,"Wednesday morning at five o'clock as the day begins Silently closing her bedroom door Leaving the note that she hoped would say more She goes downstairs to the kitchen clutching her handkerchief Quietly turning the backdoor key Stepping outside she is free  She (We gave her most of our lives) Is leaving (Sacrificed most of our lives) Home (We gave her everything money could buy) She's leaving home after living alone For so many years (Bye bye)  Father snores as his wife gets into her dressing gown Picks up the letter that's lying there Standing alone at the top of the stairs She breaks down and cries to her husband ""Daddy our baby's gone Why would she treat us so thoughtlessly? How could she do this to me?""  She (We never thought of ourselves) Is leaving (Never a thought for ourselves) Home (We struggled hard all our lives to get by) She's leaving home after living alone For so many years (Bye bye)  Friday morning at nine o'clock she is far away Waiting to keep the appointment she made Meeting a man from the motor trade  She (What did we do that was wrong) Is having (We didn't know it was wrong) Fun (Fun is the one thing that money can't buy) Something inside that was always denied For so many years (Bye bye)  She's leaving home Bye bye",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney"", ""Lennon""]"
The Sheik of Araby,Anthology 1,1962,,True,"[""Harry B. Smith"", ""Francis Wheeler"", ""Ted Snyder""]","[""Harrison""]"
A Shot of Rhythm and Blues,Live at the BBC,1963,"Well, if your hands start a-clapping And your fingers start a-popping And your feet start a-moving around And if you start to swing and sway When the band starts to play A real cool way out sound And if you get to can't help it And you can't sit down You feel like you gotta move a round You get a shot of rhythm and blues With just a little rock and roll on the side Just for good measure Get a pair of dancing shoes Well, with your lover by your side Don't you know you're gonna have a lot of pleasure? Don't you worry about a thing if you start to dance and sing And chills coming up on you And if the rhythm finally gets you and the beat gets you too Well, here's something for you to do Get a shot of rhythm and blues With just a little rock and roll on the side Just for good measure Get a pair of dancing shoes Well, with your lover by your side Don't you know you're gonna have a lot of pleasure? Don't you worry about a thing if you start to dance and sing And chills coming up on you And if the rhythm finally gets you and the beat gets you too Well, here's something for you to do Get a shot of rhythm and blues Get a pair of dancing shoes Get a shot of rhythm and blues Well, with your lover by your side Don't you know you're gonna have a lot of pleasure? Don't you worry about a thing if you start to dance and sing And chills coming up on you And if the rhythm finally gets you and the beat gets you too Well, here's something for you to do Well, here's something for you to do Well, here's something for you to do",True,"[""Terry Thompson""]","[""Lennon""]"
Shout,Anthology 1,1964,,True,"[""Rudolph Isley"", ""Ronald Isley"", ""O’Kelly Isley Jr.""]","[""Lennon"", ""McCartney"", ""Harrison"", ""Starr""]"
Sie liebt dich,Rarities,1964,"She loves you, yeh, yeh, yeh  She loves you, yeh, yeh, yeh  She loves you, yeh, yeh, yeh, yeah   You think she just loves me  Yesterday I saw her  She just thinks of you  And you should you go  Oh, yeah she loves you  know that can not be  Yes, she loves you  And you know you should rejoice   you have her hurt  you did not know why  you were not to blame  and do not turn thyself to  Oh, yeah she loves you  saver It can not be at all  Yes, she loves you  And there you should rejoice, ooo   She loves you, yeh, yeh, yeh  She loves you, yeh, yeh, yeh Because with you alone  She can only be happy   You have to go to her now  Sorry for her  Yes that will understand her  And then she'll do it  Oh, yes she loves you  Schooner it can not be at all  Yes, she loves you  And there you should rejoicing, ooo   She loves you, yeh, yeh, yeh  She loves you, yeh, yeh, yeh  For with you alone  She can only be happy   For with you alone  She can only be happy   Because with you alone  She can only be happy  His   Yeh , yeh, yeh yeh  , yeh, yeh, yeah",False,"[""John Lennon"", ""Paul McCartney"", ""Jean Nicolas"", ""Lee Montogue""]","[""Lennon"", ""McCartney""]"
Slow Down,"""Long Tall Sally"" EP",1964,,True,"[""Larry Williams""]","[""Lennon""]"
So How Come (No One Loves Me),Live at the BBC,1963,,True,"[""Felice"", ""Boudleaux Bryant""]","[""Harrison""]"
Soldier of Love (Lay Down Your Arms),Live at the BBC,1963,,True,"[""Buzz Cason"", ""Tony Moon""]","[""Lennon""]"
Some Other Guy,Live at the BBC,1963,,True,"[""Jerry Leiber"", ""Mike Stoller"", ""Richie Barrett""]","[""Lennon"", ""McCartney""]"
Something,Abbey Road,1969,"Something in the way she moves Attracts me like no other lover Something in the way she woos me  I don't want to leave her now You know I believe and how  Somewhere in her smile she knows That I don't need no other lover Something in her style that shows me  Don't want to leave her now You know I believe and how  You're asking me will my love grow I don't know, I don't know You stick around, now it may show I don't know, I don't know  Something in the way she knows And all I have to do is think of her Something in the things she shows me  I don't want to leave her now You know I believe and how",False,"[""George Harrison""]","[""Harrison""]"
Sour Milk Sea,Unreleased,1968,"Here come old flat-top, he come Groovin' up slowly, he got Ju-ju eyeballs, he want Holy rollers, he got Hair down to his knees Got to be a joker, he just do what he please  He wear no shoeshine, he got Toe-jam football, he got Monkey finger, he shoot Coca-Cola, he say I know you, you know me One thing I can tell you is you got to be free  Come together, right now Over me  He bag production, he got Walrus gumboot, he got Ono sideboard, he one Spinal cracker, he got Feet down below his knee Hold you in his armchair, you can feel his disease  Come together, right now Over me  He roller coaster, he got Early warning, he got Muddy water, he one Mojo filter, he say One and one and one is three Got to be good looking, 'cause he's so hard to see  Come together, right now Over me  Come together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah Come together, yeah  Come together, yeah",False,"[""George Harrison""]","[""Harrison""]"
Step Inside Love/Los Paranoias,Anthology 3,1968,"Step inside love and stay,  Step inside love.  Step inside love.  Step inside love.  I want you to stay.  You look tired, love,  let me turn down the light. Come in out of the cold,  rest your head on my shoulder and kiss me tonight.  We are together now  and forever, come my way. Step inside love and stay,  step inside love,  step inside love,  step inside love,  I want you to stay.  Joe Prairies and the Prairie Wallflowers.  Los Paranoias.  Los Paranoias invites you to  to just enjoy us.  Come on you can do  with baby,  come on and join Los Paranoias. Just enjoy us.  Los Paranoias,  Los Paranoias.  Come on and enjoy us. Harmony.  Los Paranoias,  come on and enjoy us. We're Los Paranoias.  We're here to sing for you and whatever you want us to  we will sing a little song for you.",False,"[""McCartney"", ""John Lennon"", ""George Harrison""]","[""McCartney""]"
Strawberry Fields Forever,Magical Mystery Tour,1966,"Let me take you down, 'cause I'm going to Strawberry Fields Nothing is real and nothing to get hung about Strawberry Fields forever  Living is easy with eyes closed Misunderstanding all you see It's getting hard to be someone but it all works out It doesn't matter much to me Let me take you down, cause I'm going to Strawberry Fields Nothing is real and nothing to get hung about Strawberry Fields forever  No one I think is in my tree I mean it must be high or low That is you can't you know tune in but it's all right That is I think it's not too bad Let me take you down, cause I'm going to Strawberry Fields Nothing is real and nothing to get hung about Strawberry Fields forever  Always, no sometimes, think it's me But you know I know when it's a dream I think I know I mean a ""Yes"" but it's all wrong That is I think I disagree  Let me take you down, cause I'm going to Strawberry Fields Nothing is real and nothing to get hung about Strawberry Fields forever Strawberry Fields forever Strawberry Fields forever  Cranberry sauce",False,"[""John Lennon""]","[""Lennon""]"
Sun King,Abbey Road,1969,Aaaaahhhhhhhhhh... Here comes the sun king Here comes the sun king Everybody's laughing Everybody's happy Here comes the sun king  Quando paramucho mi amore de felice carathon Mundo paparazzi mi amore cicce verdi parasol Questo abrigado tantamucho que canite carousel,False,"[""John Lennon""]","[""Lennon"", ""McCartney"", ""Harrison""]"
Sure to Fall (in Love with You),Live at the BBC,1963,,True,"[""Carl Perkins"", ""Quinton Claunch"", ""Bill Cantrell""]","[""McCartney""]"
Sweet Little Sixteen,Live at the BBC,1963,,True,"[""Chuck Berry""]","[""Lennon""]"
Take Good Care of My Baby,,1962,,True,"[""Gerry Goffin"", ""Carole King""]","[""Harrison""]"
Taking a Trip to Carolina,Let It Be... Naked - Fly on the Wall bonus disc,1969,Taking a trip on an ocean liner I'm gonna get to Carolina Taking a trip on an ocean liner  I'm gonna get to Carolina  Taking a trip on an ocean liner I'm gonna get to Carolina Taking a trip on an ocean liner  I'm gonna get to Carolina,False,"[""Ringo Starr""]","[""Starr""]"
A Taste of Honey,Please Please Me,1963,"A taste of honey. Tasting much sweeter than wine. I dream of your first kiss and then, I feel upon my lips again, A taste of honey. Tasting much sweeter than wine. I will return, Yes I will return, I'll come back For the honey, And you. Yours was the kiss that awoke my heart, There lingers still, 'though we're far apart, That taste of honey... Tasting much sweeter than wine. I will return, yes I will return, I'll come back For the honey, And you.",True,"[""Bobby Scott"", ""Ric Marlow""]","[""McCartney""]"
Taxman,Revolver,1966,"One, two, three, four (for you, nineteen for me) One, two (one, two, three, four)  Let me tell you how it will be There's one for you, nineteen for me 'Cause I'm the taxman Yeah, I'm the taxman  Should five per cent appear too small Be thankful I don't take it all 'Cause I'm the taxman Yeah, I'm the taxman  (If you drive a car, car) I'll tax the street (If you try to sit, sit) I'll tax your seat (If you get too cold, cold) I'll tax the heat (If you take a walk, walk) I'll tax your feet Taxman  'Cause I'm the taxman Yeah, I'm the taxman  Don't ask me what I want it for (Ha, ha, Mr. Wilson) If you don't want to pay some more (Ha, ha, Mr. Heath) 'Cause I'm the taxman Yeah, I'm the taxman  Now my advice for those who die (Taxman) Declare the pennies on your eyes (Taxman) 'Cause I'm the taxman Yeah, I'm the taxman And you're working for no one but me (Taxman)",False,"[""George Harrison""]","[""Harrison"", ""Lennon"", ""McCartney""]"
Teddy Boy,Anthology 3,1969,"This is the story About a boy named Ted If his mother said (Said) ""Ted, be good (Be good, Ted),"" he would (Alright)  She told him tales About a soldier dad But it made her sad Then she cried, oh my  Ted used to tell her He'd be twice as good And he knew he could Cos in his head he said ""Mummy don't worry Your mblmblmbl's here Taking good care of you Mama don't worry Your Teddy boy's here Teddy's gonna see you through""  And she said ""Teddy don't worry Your mummy's here Taking good care of you"" She said, ""Teddy don't worry Your mummy's here Teddy's gonna see you through""  He said, ""Ta da da...""  Then came the day She found herself a man Teddy turned and ran Oh far away, oh yeah  He couldn't stand Just to be around So he left the town far away, yeah yeah  Ted used to tell her He'd be twice as good And he know he could Cos in his head he said ""Mummy don't worry Now Teddy boy's here Taking good care of you Mummy don't worry Your Teddy boy's here Teddy's gonna see you through""  And she said ""Teddy don't worry Now mummy's here Taking good care of you Teddy don't worry Your mummy's here Mummy's gonna see you through""  And he said ""Mummy mummy don't worry Your Teddy boy's here Taking good care of you Mummy don't worry Now Teddy boy's here Teddy's gonna see you through""  Take your partners And dosi-do Hold them tight And don't let go When got it. Jump up  Take your partners And dosi-do When you got it Then let it go Hold them tight then  Now Ted used to tell her He'd be twice as good And he knew he could Cos in his head, he said [fade out]",False,"[""Paul McCartney""]","[""McCartney""]"
Tell Me What You See,Help!,1965,"If you let me take your heart I will prove to you We will never be apart if I'm part of you Open up your eyes now, tell me what you see It is no surprise now, what you see is me  Big and black the clouds may be, time will pass away If you put your trust in me I'll make bright your day Look into these eyes now, tell me what you see Don't you realise now, what you see is me Tell me what you see  Listen to me one more time, how can I get through? Can't you try to see that I'm trying to get to you? Open up your eyes now, tell me what you see It is no surprise now, what you see is me Tell me what you see  Listen to me one more time, how can I get through? Can't you try to see that I'm trying to get to you? Open up your eyes now, tell me what you see It is no surprise now, what you see is me",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney"", ""Lennon""]"
Tell Me Why,A Hard Day's Night,1964,"Tell me why you cried And why you lied to me Tell me why you cried And why you lied to me  Well, I gave you everything I had But you left me sitting on my own Did you have to treat me oh so bad? All I do is hang my head and moan  Tell me why you cried And why you lied to me Tell me why you cried And why you lied to me  If it's something that I've said or done Tell me what, and I'll apologize If you don't I really can't go on Holding back these tears in my eyes  Tell me why you cried And why you lied to me Tell me why you cried And why you lied to me  Well, I beg you on my bended knees If you'll only listen to my pleas Is there anything I can do 'Cause I really can't stand it, I'm so in love with you  Tell me why you cried And why you lied to me Tell me why you cried And why you lied to me",False,"[""John Lennon""]","[""Lennon""]"
Thank You Girl,Rarities,1963,"Oh, oh, you've been good to me You made me glad When I was blue And eternally I'll always be In love with you And all I gotta do Is thank you girl, thank you girl  I could tell the world A thing or two about our love I know little girl Only a fool would doubt our love And all I gotta do Is thank you girl, thank you girl  Thank you girl for loving me The way that you do (Way that you do) That's the kind of love That is too good to be true And all I gotta do Is thank you girl, thank you girl  Oh, oh, you've been good to me You made me glad When I was blue And eternally I'll always be In love with you And all I gotta do Is thank you girl, thank you girl  Oh, oh, oh Oh, oh, oh Oh, oh",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
That Means a Lot,Anthology 2,1965,"A friend says that your love Won't mean a lot And you know that your love Is all you've got At times things are so fine And at times they're not But when she says she loves you That means a lot  A friend says that a love Is never true And you know that this Don't apply on you A touch can mean so much When it's all you've got When she says she loves you That means a lot  Love can be deep inside Love can be suicide Can't you see you can't hide What you feel when it's real  A friend says that your love Won't mean a lot And you know that your love Is all you've got A touch can mean so much When it's all you've got But when she says she loves you That means a lot  Can't you see, yeah Can't you see, yeah Can't you see, yeah Can't you see, yeah Can't you see, yeah Can't you see, yeah Can't you see, yeah Can't you see, yeah (fade out)",False,"[""Paul McCartney""]","[""McCartney""]"
That'll Be the Day,Anthology 1,1958,,True,"[""Jerry Allison"", ""Buddy Holly"", ""Norman Petty""]","[""Lennon""]"
That’s All Right (Mama),Live at the BBC,1963,,True,"[""Arthur Crudup""]","[""McCartney""]"
There's a Place,Please Please Me,1963,"There is a place Where I can go When I feel low When I feel blue And it's my mind And there's no time when I'm alone  I think of you And things you do Go 'round my head The things you said Like ""I love only you.""  In my mind there's no sorrow Don't you know that it's so There'll be no sad tomorrow Don't you know that it's so  There is a place Where I can go When I feel low When I feel blue And it's my mind And there's no time when I'm alone There's a place",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
Things We Said Today,A Hard Day's Night,1964,"You say you will love me If I have to go You'll be thinking of me Somehow I will know Someday when I'm lonely Wishing you weren't so far away Then I will remember Things we said today  You say you'll be mine, girl Till the end of time These days such a kind girl Seems so hard to find Someday when we're dreaming Deep in love, not a lot to say Then we will remember Things we said today  Me, I'm just the lucky kind Love to hear you say that love is luck And though we may be blind Love is here to stay and that's enough  To make you mine, girl Be the only one Love me all the time, girl We'll go on and on Someday when we're dreaming Deep in love, not a lot to say Then we will remember Things we said today  Me, I'm just the lucky kind Love to hear you say that love is luck Though we may be blind Love is here to stay and that's enough  To make you mine, girl Be the only one Love me all the time, girl We'll go on and on Someday when we're dreaming Deep in love, not a lot to say Then we will remember Things we said today",False,"[""Paul McCartney""]","[""McCartney""]"
Think for Yourself,Rubber Soul,1965,I've got a word or two To say about the things that you do You're telling all those lies About the good things that we can have If we close our eyes  Do what you want to do And go where you're going to Think for yourself Cos I won't be there with you  I left you far behind The ruins of the life that you have in mind And though you still can't see I know your mind's made up You're gonna cause more misery  Do what you want to do And go where you're going to Think for yourself Cos I won't be there with you  Although your mind's opaque Try thinking more if just for your own sake The future still looks good And you've got time to rectify All the things that you should  Do what you want to do And go where you're going to Think for yourself Cos I won't be there with you  Do what you want to do And go where you're going to Think for yourself Cos I won't be there with you Think for yourself Cos I won't be there with you,False,"[""George Harrison""]","[""Harrison""]"
This Boy,Rarities,1963,"That boy took my love away Though he'll regret it someday But this boy wants you back again  That boy isn't good for you Though he may want you too This boy wants you back again  Oh, and this boy would be happy Just to love you, but oh my That boy won't be happy Till he's seen you cry  This boy wouldn't mind the pain Would always feel the same If this boy gets you back again  This boy This boy This boy [fade out]",False,"[""John Lennon""]","[""Lennon"", ""McCartney"", ""Harrison""]"
Three Cool Cats,Anthology 1,1962,,True,"[""Jerry Leiber"", ""Mike Stoller""]","[""Harrison""]"
Ticket to Ride,Help!,1965,"I think I'm gonna be sad I think it's today, yeah The girl that's driving me mad Is going away  She's got a ticket to ride She's got a ticket to ride She's got a ticket to ride But she don't care  She said that living with me Is bringing her down, yeah For she would never be free When I was around  She's got a ticket to ride She's got a ticket to ride She's got a ticket to ride But she don't care  I don't know why she's riding so high She ought to think twice She ought to do right by me Before she gets to saying goodbye She ought to think twice She ought to do right by me  I think I'm gonna be sad I think it's today, yeah The girl that's driving me mad Is going away, yeah  Oh, she's got a ticket to ride She's got a ticket to ride She's got a ticket to ride But she don't care  I don't know why she's riding so high She ought to think twice She ought to do right by me Before she gets to saying goodbye She ought to think twice She ought to do right by me  She said that living with me Is bringing her down, yeah For she would never be free When I was around  Ah, she's got a ticket to ride She's got a ticket to ride She's got a ticket to ride But she don't care  My baby don't care, my baby don't care My baby don't care, my baby don't care My baby don't care, my baby don't care (fade out)",False,"[""John Lennon""]","[""Lennon"", ""McCartney""]"
Till There Was You,With the Beatles,1963,,True,"[""Meredith Willson""]","[""McCartney""]"
Tip of My Tongue,Unreleased,1963,"When I want to speak to you It sometimes takes a week or two To think of things I want to say to you (to you) But words just stay on the tip of my tongue (Tip of my tongue)  When the skies are not so blue There`s nothing left for me to do Just think of something new to say to you (to you) But words just stay on the tip of my tongue (Tip of my tongue)  People say I`m lonely, Only you know that`s not true You know I am waiting for a chance To prove my love to you Soon enough my time will come And after all is said and done I`ll marry you and we will live as one (as one) With no more words on the tip of my tongue (Tip of my tongue) People say I`m lonely, Only you know that`s not true You know I am waiting for a chance To prove my love to you  Soon enough my time will come And after all is said and done I`ll marry you and we will live as one (as one) With no more words on the tip of my tongue With no more words on the tip of my tongue With no more words on the tip of my tongue",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
To Know Her is to Love Her,Live at the BBC,1963,,True,"[""Phil Spector""]","[""Lennon""]"
Tomorrow Never Knows,Revolver,1966,"Turn off your mind, relax and float down stream It is not dying, it is not dying  Lay down all thoughts, surrender to the void It is shining, it is shining  Yet you may see the meaning of within It is being, it is being  Love is all and love is everyone It is knowing, it is knowing...  ... that ignorance and hates may mourn the dead It is believing, it is believing  But listen to the colour of your dreams It is not living, it is not living  So play the game ""Existence"" to the end... ... Of the beginning, of the beginning Of the beginning, of the beginning Of the beginning, of the beginning Of the beginning, of the beginning",False,"[""John Lennon""]","[""Lennon""]"
Too Much Monkey Business,Live at the BBC,1963,,True,"[""Chuck Berry""]","[""Lennon""]"
Twist and Shout,Please Please Me,1963,,True,"[""Phil Medley"", ""Bert Berns""]","[""Lennon""]"
Two of Us,Let It Be,1969,"[""I Dig A Pygmy"" by Charles Hawtrey and the Deaf Aids. Phase one, in which Doris gets her oats.]  Two of us riding nowhere Spending someone's Hard earned pay You and me Sunday driving Not arriving On our way back home We're on our way home We're on our way home We're going home  Two of us sending postcards Writing letters On my wall You and me burning matches Lifting latches On our way back home We're on our way home We're on our way home We're going home  You and I have memories Longer than the road that stretches out ahead  Two of us wearing raincoats Standing solo In the sun You and me chasing paper Getting nowhere On our way back home We're on our way home We're on our way home We're going home  You and I have memories Longer than the road that stretches out ahead  Two of us wearing raincoats Standing solo In the sun You and me chasing paper Getting nowhere On our way back home We're on our way home We're on our way home We're going home  [We're going home, you better believe it. Goodbye.]",False,"[""Paul McCartney""]","[""McCartney"", ""Lennon""]"
Wait,Rubber Soul,1965,"It's been a long time Now I'm coming back home I've been away now Oh how, I've been alone  Wait till I come back to your side We'll forget the tears we've cried  But if your heart breaks Don't wait, turn me away And if your heart's strong Hold on, I won't delay  Wait till I come back to your side We'll forget the tears we've cried  I feel as though You ought to know That I've been good As good as I can be And if you do I'll trust in you And know that you Will wait for me  It's been a long time Now I'm coming back home I've been away now Oh how, I've been alone  Wait till I come back to your side We'll forget the tears we've cried  I feel as though You ought to know That I've been good As good as I can be And if you do I'll trust in you And know that you Will wait for me  But if your heart breaks Don't wait, turn me away And if your heart's strong Hold on, I won't delay  Wait till I come back to your side We'll forget the tears we've cried  It's been a long time Now I'm coming back home I've been away now Oh how, I've been alone",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney"", ""Lennon""]"
Watching Rainbows,,1969,"Standing in the garden Waiting for the sun to shine Hand my umbrella With this dirt I wish she was mine Everybody doves, think a thing It didn't come Instead of watching rainbows I'm gonna make me some Instead of watching rainbows I'm gonna make me some  Standing in the garden Waiting for the English sun to come and make me brown so I can be someone Lookin' at the bench of next door neighbours Cryin' to my mum I'm tryin' to set sabors Everybody's got to have something hard to grow  Well, instead of watching rainbows under the sun You gotta get out son and make you one You gotta get out son and make you run Because you're not gonna make it if you cry, though  Shoot big! Shoot big! Whatever you do you gotta kill somebody To get what you wanna get You gotta shoot big! You gotta shoot big! Until you shoot big I can't stand",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon""]"
We Can Work It Out,A Collection of Beatles Oldies,1965,"Try to see it my way Do I have to keep on talking till I can't go on? While you see it your way Run the risk of knowing that our love may soon be gone  We can work it out We can work it out  Think of what you're saying You can get it wrong and still you think that it's alright Think of what I'm saying We can work it out and get it straight, or say goodnight  We can work it out We can work it out  Life is very short, and there's no time For fussing and fighting, my friend I have always thought that it's a crime So I will ask you once again  Try to see it my way Only time will tell if I am right or I am wrong While you see your way, There's a chance that we may fall apart before too long  We can work it out We can work it out  Life is very short, and there's no time For fussing and fighting, my friend I have always thought that it's a crime So I will ask you once again  Try to see it my way Only time will tell if I am right or I am wrong While you see it your way There's a chance that we may fall apart before too long  We can work it out We can work it out",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney"", ""Lennon""]"
